Country,Active Cases 2020,Active Cases 2021,Active Cases 2022,Cumulative Total Cases 2020,Cumulative Total Cases 2021,Cumulative Total Cases 2022,Cumulative Total Deaths 2020,Cumulative Total Deaths 2021,Cumulative Total Deaths 2022,Daily New Cases 2020,Daily New Cases 2021,Daily New Cases 2022,Daily New Deaths 2020,Daily New Deaths 2021,Daily New Deaths 2022,GDP per Capita 2020,GDP per Capita 2021,GDP per Capita 2022
Afghanistan,2209902,6465143,1228621,8509766,39623756,23022641,296889,1784099,1013877,52512,105585,21145,2201,5155,334,510.7870634,356.4962141,357.2611528
Albania,1638762,4942204,831615,3727553,51108509,35280420,88375,871304,459001,58314,151908,65350,1180,2036,280,5370.778623,6413.283286,6846.426143
Algeria,3062876,16325551,10374513,10583374,57173418,34380520,377811,1563864,902821,99609,118822,47384,2756,3520,599,3743.541952,4160.559267,4961.552577
Andorra,114214,166094,229067,682873,5085975,4989863,15492,44642,20038,8048,15691,18416,84,56,13,37361.09007,42425.69968,42414.05901
Angola,657522,1307687,298813,1343523,14800390,13062484,36810,368699,253003,17552,64040,17601,403,1365,130,1449.922867,1925.874661,2929.694455
Argentina,22474307,61567249,32678495,148346455,1440211060,1141699856,4363790,31681182,16753246,1625513,4028894,3446911,43244,73924,11560,8535.59938,10738.01792,13935.68111
Armenia,3172500,4087142,1183598,14553116,86241517,53852199,248551,1738056,1123884,159408,185521,77966,2823,5149,651,4268.680933,4685.179971,6571.974455
Aruba,80741,118588,75411,571845,4361479,4415842,4825,42994,27279,5487,14972,15232,48,132,32,22855.93232,27200.06108,30559.53353
Australia,459860,3449949,49214031,5073167,28046498,492172269,137256,445551,718565,28390,367099,6156120,947,1406,5420,51791.54018,60607.77886,64997.01365
Austria,4073368,10016277,30555893,22149162,251183280,391641411,386204,4118462,2224097,360813,917804,2930538,6789,8220,3294,48716.40989,53648.71907,52176.66491
Azerbaijan,3087402,6069207,1403577,12949056,137456525,99632878,161919,1890947,1243823,218699,398247,175691,2641,5717,1351,4229.910649,5408.045352,7770.594223
Bahamas,247605,444531,411355,772879,5355151,4354130,17617,130331,102738,7870,16605,9395,169,547,84,25155.67254,28682.327,33044.38821
Bahrain,919373,1902335,2520414,12938530,79666776,64319032,47272,371236,193607,92670,189387,294935,352,1042,85,24342.84446,27147.80839,30616.26107
Bangladesh,18109439,18480871,10309532,68809457,387484262,250746024,968739,6492180,3863715,513507,1072029,367440,7558,20513,1055,2248.850788,2482.849178,2716.485927
Barbados,5108,419948,529864,45254,2926988,7283824,1839,30883,47654,381,28182,47696,6,289,137,18347.11091,18696.7859,22164.02603
Belarus,0,0,0,20429983,158661069,117911659,172622,1192908,867474,194283,504826,283757,1424,4154,1400,6542.86454,7489.718947,7994.648061
Belgium,18183312,41407383,64691766,53254927,412124237,464163719,2829131,8953049,4040882,644241,1445415,2026740,19245,9063,3305,45906.28758,51655.78833,50807.20471
Belize,206844,273716,353534,571634,6264714,7138095,11329,137706,86578,10775,22064,25056,247,354,74,5227.193638,6122.611586,7068.454783
Benin,81426,309219,135040,462051,4626109,3562888,7550,40846,21813,3250,21684,2017,43,117,2,1197.501364,1318.834978,1264.70766
Bermuda,9106,89401,74105,51882,1083100,1537106,2304,16206,16464,602,5816,7715,8,100,25,106973.1757,112712.0251,120897.3112
Bhutan,9261,35822,424705,52995,674167,3215180,0,672,1266,669,1990,56906,0,2,18,3191.66907,3570.612579,3711.327679
Bolivia,6245546,14320284,10039053,22469077,144381898,115189564,1326382,5781036,2889409,158370,441381,306330,9351,10700,1891,3099.94219,3384.844865,3643.92827
Botswana,354505,1648233,435841,942346,36859393,37064959,3202,495490,351613,14802,204704,86815,41,2402,246,6323.314192,7808.20624,8329.040322
Brazil,128919674,274628078,149060624,896397893,6229270716,3743114457,27088452,169493917,86666779,7718846,14568674,8394573,194976,424133,45811,7074.193783,7972.53665,9281.333344
Brunei Darussalam,2886,179618,1091297,41244,1450754,10985539,697,9936,21144,156,15313,128941,2,99,118,26834.35925,31006.96362,36632.92804
Bulgaria,5629245,17323606,24919873,11096369,158919745,140408632,347816,6555017,4706384,202264,544842,414396,7575,23379,6090,10198.53883,12274.0776,13644.20158
Burkina Faso,90636,127847,31774,486352,4888176,2755164,15428,64876,49629,6706,10925,3221,84,233,64,825.2370388,895.5352884,836.1183046
Burundi,0,0,0,98832,3404390,5079643,277,6901,5092,816,26548,13869,1,36,0,210.0081399,214.0914554,250.6342254
Cabo Verde,141180,302522,108960,1221070,10461925,7376730,12418,94413,52843,11839,29892,14373,112,238,50,3539.22662,3971.444074,4323.313627
Cambodia,5702,1197759,142562,63223,20810696,17381096,0,424053,406873,365,120127,15769,0,3012,44,2081.739142,2167.403242,2325.0305
Cameroon,414733,1311874,270243,4233450,26880316,15732372,88814,432844,255546,26275,83090,10413,447,1403,76,1555.603707,1672.326573,1604.87727
Canada,7929102,15552509,28040440,47698825,488969298,440639790,2317568,9160744,4812193,581387,1606914,1633037,15428,14555,10245,43537.8393,52496.84417,55509.39318
Cayman Islands,6682,210282,1302318,53492,568079,2415946,337,983,2658,337,8480,14760,1,9,17,82338.79829,86438.44526,92202.1478
Central African Republic,608351,1029500,961673,955116,3281398,1895671,11732,32253,14892,4969,7193,2486,62,38,12,462.8790713,492.2631428,467.359825
Chad,22407,80695,280204,277904,1718444,958772,19635,59644,25452,2112,3588,1713,102,77,12,622.0955434,660.7471926,671.7201476
Channel Islands,41551,240221,418663,228577,3075333,7490735,12191,32996,19529,3057,24449,47768,57,55,60,56785.94024,66912.17501,67627.30823
Chile,4840273,8013875,52278769,92371258,496409645,392241308,3054250,13940597,7197256,608972,1197521,1794402,20828,28236,8649,13114.81547,16216.57065,15451.13196
China,1739692,289333,1551645,28485971,38270343,102042069,1416843,1766995,1187656,95272,18834,1315079,4764,67,9717,28258.97477,31194.03467,30744.31772
Colombia,18924474,28343393,7933766,155343226,1386142827,796142064,4586023,35428926,18382071,1642774,3514665,937876,43211,86729,9879,5339.687114,6222.621644,6674.596019
Comoros,7762,48817,27886,97325,1394502,1065650,1443,49974,21399,822,5692,1585,9,147,3,1527.16991,1584.124502,1489.495663
Congo,290151,878321,457170,896722,4646633,3177147,16432,68943,50719,7106,12982,3990,106,259,18,1993.586672,2516.162551,2620.838043
Costa Rica,5573867,18124522,8323839,14537739,136125027,103834521,174977,1723185,1072606,169320,403227,293616,2184,5172,1087,12394.0494,12838.11854,13625.90085
Cote D Ivoire,446829,383680,214849,3707720,17670932,10829533,23813,143885,105283,22489,48514,10985,136,577,85,2179.729348,2455.981276,2308.706547
Croatia,1481646,3472896,3135263,9922003,136540739,136412361,156885,2852106,1985043,210836,504408,415860,3920,8618,3387,14808.46202,17789.93047,18466.09555
Cuba,127974,4975361,684010,1201050,150524716,142581290,26651,1230857,1134440,11860,954141,138492,145,8176,207,9605.261251,0,0
Curacao,81104,206883,280932,188350,4463504,5124688,624,40670,33664,4259,17065,21692,13,175,86,16356.09336,17980.08884,20501.75228
Cyprus,535972,4142257,30158569,1020138,31125723,46939533,7819,145564,115384,22948,143877,310884,118,519,394,28649.01563,33734.29297,33938.94531
Democratic Republic Of The Congo,403341,3106337,4447649,2237807,15314363,11447970,59060,330990,175701,17657,57135,12230,590,614,132,507.5212301,558.0340773,642.6122658
Denmark,1945626,7418837,31981614,9214140,116075735,315751668,178013,932446,652784,163478,623892,2188844,1312,1955,3018,60985.48856,69727.98737,68091.31911
Djibouti,85635,68937,12020,1201341,3877170,2061187,12520,49578,25326,5830,7825,1975,60,128,0,2881.999245,3019.693439,3231.300153
Dominica,1760,67518,54280,9254,629086,1428893,0,3508,7709,87,6774,5823,0,46,16,7461.779332,8262.650913,9085.674128
Dominican Republic,5351119,10353127,933906,21168632,113645275,74626209,380155,1331829,582164,170784,247993,161634,2414,1833,129,7162.291752,8472.47982,10109.5234
Ecuador,0,0,0,27575413,154463219,106392936,4068620,10969001,4702018,212511,338741,321015,23793,10272,1542,5463.645096,6075.802657,6540.998245
Egypt,4751673,13742791,6168510,21009601,96170538,63362281,1137527,5525855,3178375,138061,247513,130070,7631,14121,2861,3511.11381,3827.354154,4233.307837
El Salvador,1064568,2711947,1658382,5411160,30797800,20065865,153106,946615,539818,45959,76016,40113,1335,2488,305,3997.192796,4642.607431,5093.518339
Equatorial Guinea,204203,116548,31418,938950,3363100,2103269,15263,45515,24348,5276,8433,2200,85,89,8,5764.055029,6945.630698,7589.299649
Estonia,429195,4368542,9904384,1357811,48325306,62021771,20433,425941,305150,27988,213417,332516,229,1703,624,23933.99394,27953.76702,28451.14778
Ethiopia,5164179,9155640,5156345,12832688,98832778,62357222,200306,1582714,991511,124263,296078,50595,1921,5014,573,905.3131758,910.9478403,1011.073286
Fiji,1246,1712007,229517,7639,8096962,8448970,281,96222,111735,48,53832,10892,1,701,159,4844.42129,4696.171019,5405.030074
Finland,0,0,0,3222088,40085744,94862506,88906,357417,363065,36106,224185,809448,561,1003,2720,48828.68469,53099.13514,50438.4754
France,46465307,130717488,398585265,185684690,2081236261,3020068632,9284791,38335202,18461472,2459104,7513684,19188002,64779,58961,23516,39169.8606,43725.09995,41082.81193
French Polynesia,0,0,0,1023297,10426325,8432042,5217,112249,86026,16925,29456,26439,112,522,13,20746.27204,21982.90389,20738.65
Gabon,293409,785535,234924,1710640,9037002,6288637,11245,59068,40408,9570,32227,5810,63,224,16,6605.803461,8181.409141,8409.207415
Gambia,126085,71051,29474,506864,2641561,1578440,16213,84211,48286,3796,6373,1829,123,219,22,720.3351434,781.8909252,836.2448759
Georgia,1624810,8316423,7792296,9272650,169868854,195516024,88764,2355374,2136582,227419,707321,720480,2505,11295,3011,4300.857013,5083.606955,6729.846599
Germany,25567746,92926304,382334032,116751567,1381583494,2215800788,2970138,31248690,16829856,1745502,5430930,18598061,34313,78443,25151,47379.76519,52265.65416,49686.11546
Ghana,598779,1133494,284535,8671143,37458298,21227418,53074,315697,189983,54769,88215,18294,334,960,150,2196.547893,2445.500818,2240.279451
Greece,1571925,11559929,27422534,7977570,178179334,340071162,208521,4396534,3471848,138849,1072003,2178453,4838,15952,8746,17886.73317,20654.7002,20971.83493
Greenland,273,22192,1068357,4096,143552,1437851,0,4,1912,26,2584,9360,0,0,20,54693.07668,57116.29577,0
Grenada,1788,69700,96886,8329,668843,1737675,0,19748,28651,126,6054,10163,0,199,21,8968.558901,9622.240505,10474.26529
Guatemala,2024686,6149472,2875884,16489665,131579843,103088299,586456,3701581,2272525,138011,490347,223518,4812,11294,1685,4477.617618,4913.947129,5358.089638
Guinea,264142,498196,239494,2144619,8822226,4835810,12894,83224,57764,13721,18329,4546,80,310,51,1053.660977,1244.965505,1416.59612
Guyana,121141,575991,356260,548774,7737237,8054988,16383,190581,159675,6332,33241,24231,163,890,174,6775.709391,9860.872334,17913.49101
Haiti,501091,950887,313246,1707222,6505955,3983647,40949,165251,109155,10013,15970,4728,235,530,69,1290.325387,1835.443941,1760.626357
Honduras,8928353,62138518,36030569,14300701,98298230,54794445,409691,2593248,1436880,121825,257715,44848,3129,7304,462,2307.614943,2735.147515,3003.289968
Hungary,10243329,35214576,17089736,15561068,276201999,229388606,452463,9635417,5859426,322512,933901,653533,9536,29649,7157,16131.95404,18755.10235,18353.29836
Iceland,0,0,0,808028,3505102,17348043,3674,11312,10408,5753,23478,157313,29,8,83,59023.56635,69325.90783,75314.08556
India,115666664,246373052,59936754,1084142420,9214683877,5588348786,17557101,124022514,68835084,10286326,24575250,8260020,152348,334066,37800,1907.042516,2239.613844,2352.613925
Indonesia,11866895,52900098,22051307,60573723,987829680,718755466,2148685,30621373,20142333,743196,3519522,1787799,22138,121956,12359,3853.702888,4287.17314,4730.745489
Iraq,9624593,24728859,3424326,64618845,512717867,303673932,1623031,6615129,3331225,595290,1498449,232616,12813,11345,1058,4295.189451,4868.494311,6504.124284
Ireland,2343377,16934676,23554710,10432990,119071576,174016519,459848,1759650,878257,91723,645920,797808,2237,3675,1291,87567.1149,105561.1375,106194.7559
Israel,6639019,12523044,20760835,41542911,353938096,451147506,341155,2427089,1320110,425663,961265,2718434,3373,4878,2498,44679.77158,52255.61591,54930.72616
Italy,53816437,102423030,204338995,152429194,1497819655,1735036230,10608732,43649460,20650093,2126670,4026966,10877072,74237,63325,27620,32091.48666,36852.54254,35635.74422
Jamaica,496522,6634235,6038245,1147381,20199724,16680339,23654,452396,373666,12826,81093,38060,301,2171,522,4879.440246,5165.33781,6022.153411
Japan,2517823,16813605,64499615,18246750,365355953,681148576,358363,4792432,3249079,230789,1502483,6566259,3413,14979,11612,40040.76551,40058.53733,34017.27181
Jordan,4697338,9593136,6547167,14090969,257074328,202343720,172825,3233774,1831940,294493,768911,630811,3834,8819,1395,4022.040136,4183.499983,4332.251599
Kazakhstan,2886053,14302691,4488017,21157289,198870507,167193196,229582,2352104,1806916,154720,833146,317770,1783,11229,649,8781.507978,9983.601036,11255.33964
Kenya,647629,1166788,1489983,8885583,68330467,43040980,158559,1320388,751290,96457,198570,28983,1669,3708,271,1927.66459,2061.356221,2109.562885
Kiribati,0,0,83717,0,0,295276,0,0,1121,0,0,3056,0,0,12,1769.432118,2253.825001,2075.908441
Kuwait,1996479,3000939,2123741,20839969,117835316,78482551,132226,686533,338896,150579,266551,214939,934,1534,87,25236.07555,34043.54215,40077.23805
Latvia,481702,3390069,8004662,1518570,52364195,83766742,22352,907121,708480,40903,235770,549025,635,3935,1228,17564.23215,20262.84339,20229.46136
Lebanon,4555570,16416124,12102552,11060816,192667344,135709981,102079,2556280,1339944,181502,546427,370026,1618,7501,1288,5561.19167,4045.373911,3654.358455
Lesotho,164258,2822135,1208093,399000,6559943,4347030,10414,192855,92987,4557,25094,3258,85,584,26,918.5825774,1066.586451,1029.995533
Liberia,53149,90419,170051,276909,1432795,978396,16175,62914,39095,1778,4499,1173,82,204,7,616.787867,667.9661051,744.6171752
Libya,3019006,11534603,1971172,7608160,86830013,63200190,111917,1301431,833305,100276,288457,113170,1477,4232,720,6650.338106,4935.827873,5986.636949
Liechtenstein,19900,32759,53028,104947,1184176,1722192,1188,21155,10526,2135,3972,11225,38,30,15,164671.0936,196783.7294,186400.2338
Lithuania,2408379,7305424,8052701,4961295,107677326,117148835,59395,1631794,1132166,145277,374470,540847,1802,5589,1736,20541.82499,23934.72849,25085.78406
Luxembourg,743309,852042,2170093,3319423,25861839,25175043,43731,284062,134088,46601,57164,140416,498,417,158,116905.3704,133711.7944,125006.0218
Macao,1239,847,122,13269,21496,10818,0,0,0,36,33,3,0,0,0,36976.25611,45376.31459,36909.95641
Madagascar,234782,531980,527534,2725573,13244489,8250023,36336,269418,176690,17711,32565,13957,260,766,366,450.7716152,490.2062386,497.2425148
Malawi,236491,1913098,929719,982554,16127502,11334181,29152,558370,346186,6580,68492,10812,188,2175,272,602.5074782,617.4475208,604.2697512
Malaysia,1203803,31638549,18821210,6305919,435828079,487547827,49279,4290081,4501480,112988,2645076,1717787,471,31016,4125,9957.526267,10903.11164,11748.09193
Maldives,277000,1453362,1770452,1778965,21538865,21117709,6298,59645,38668,13755,81943,83783,47,214,36,7393.888654,10176.14388,11786.00915
Mali,189028,768536,168025,740033,4925884,3986807,31268,178577,96123,7088,13918,9995,268,391,73,804.3439567,862.4674001,813.9650341
Malta,194272,522045,707632,918438,11450331,10120819,11596,147052,81396,12771,39699,40973,218,258,236,31796.82134,38027.38017,36142.20585
Marshall Islands,55,0,202,200,1460,1195,0,0,0,3,0,13,0,0,0,5661.967873,6258.611937,6322.828555
Mauritania,243370,328297,235135,1505492,9459679,7672454,34928,213784,128963,14363,27109,17367,346,519,116,1795.764596,1947.789184,1960.352401
Mauritius,15281,443499,180252,111760,2670861,4279160,2720,40525,121659,553,22937,14350,9,776,210,9011.042884,9068.973002,10239.79705
Mexico,24812588,112053837,58835152,149411945,1025906528,709105341,18497571,87497792,42323586,1413933,2555751,1775966,145193,154090,25180,8841.27075,10314.05067,11385.40708
Micronesia,0,17,100,0,355,234,0,0,0,0,0,6,0,0,0,3353.88943,3493.872286,3835.381843
Moldova,2480943,2614983,1758769,12284224,95236974,64333340,298704,2399780,1488083,144817,231337,140831,3109,7165,1214,4375.778893,5274.605822,5738.424735
Monaco,10374,41044,37272,63711,998682,1279935,422,10832,6712,874,4292,6837,3,35,16,176891.8865,223823.364,226052.0019
Mongolia,28794,7754014,18379535,91530,56573309,60643746,3,268548,287907,1214,388146,80524,0,2058,120,4001.251931,4517.61578,4993.514875
Montenegro,847950,1697185,548988,3038915,39162192,30068166,45322,580947,353493,48245,121787,66178,681,1729,307,7677.371321,9465.96153,10093.4387
Morocco,4379104,5334707,1930648,31729492,244881694,152081227,539218,3980187,2111983,439192,523899,202614,7388,7461,1222,3268.030273,3785.936279,3455.39624
Mozambique,362300,3052959,1007944,1631416,36649059,29836858,12401,442220,291778,18641,170438,36413,165,1840,195,462.4338765,509.9078295,578.2516638
Myanmar,1699077,7500700,1387904,6781679,103437024,77791589,148414,3375849,2596172,124628,406204,82302,2681,16586,166,1490.216835,1242.721344,1158.05005
Namibia,365128,1917722,384129,1811909,31341189,21001509,17821,711319,531534,23939,124033,12100,204,3428,395,3878.58983,4412.835569,4349.045322
Nauru,0,0,60,0,0,168,0,0,0,0,0,7,0,0,0,10695.69933,14989.66475,13287.27119
Nepal,3456821,9061440,2156067,21242993,207257019,127677382,185438,2767041,1589519,260592,567838,150560,2703,8891,358,1154.215176,1252.750767,1385.910663
Netherlands,19609392,68251132,153904704,50453896,632389275,850574939,1820564,6308735,2905747,796980,2335764,4934371,11529,9422,1341,53467.92774,60141.98809,59123.31856
New Caledonia,589,134982,468473,6885,1143735,6034632,0,24556,40001,36,12754,48257,0,280,31,33270.3306,35311.55436,33516.36309
New Zealand,33512,214296,7956937,470998,1585794,52137603,7275,12411,35053,2161,11956,1023737,30,29,850,41785.69229,49624.18167,48216.50958
Nicaragua,263936,2133820,1828373,947576,3745423,2424074,28253,69478,29551,6045,11441,1004,164,47,13,1931.615158,2128.609806,2325.167379
Niger,51252,83240,23952,331422,2033980,1163526,17308,71859,40561,3322,4082,1608,103,171,35,579.5124958,608.7224396,609.7451476
Nigeria,2252719,3719809,1415117,11232234,64305447,34012364,212679,827627,419669,87607,154734,13518,1289,1742,112,2019.657063,2017.274865,2139.374785
Norway,0,0,0,4431539,54528354,150844631,72831,293169,286429,49566,344692,1035458,440,894,1727,68340.0181,93072.89251,108798.4512
Oman,2360420,3527221,945734,19055810,86768455,49151517,174606,1076361,564617,128865,176741,83789,1499,2617,143,16784.86306,19403.46002,23665.63947
Pakistan,8859150,16714501,4325360,66289370,347158197,197303220,1409826,7741132,4010097,479713,815661,233789,10105,18822,1449,1278.397352,1455.319224,1538.322813
Palau,0,79,73214,0,845,414103,0,0,534,0,8,4869,0,0,5,14556.58969,13257.20667,14392.19903
Panama,4834713,3989086,2713907,22769441,147763042,96591818,451030,2376377,1068752,246789,249130,310357,4022,3406,775,13290.56083,15509.80691,17332.43607
Papua New Guinea,16502,470593,82747,84463,5865813,5428964,965,71820,84011,779,35378,7718,9,581,61,2429.611346,2607.578619,3101.710632
Paraguay,2484961,7577102,2505366,8191908,126806155,81873261,177890,4030440,2452624,107963,360061,181693,2381,14560,1930,5365.472207,5976.931798,6205.625954
Peru,0,0,0,145204563,681677001,445242923,16676206,62812506,28072620,1015136,1281694,1275088,100446,102241,10333,6133.325524,6826.972007,7363.272069
Philippines,8925880,24810096,10537495,53524160,579170184,476605381,1048096,9812003,7617955,474052,2369814,844053,9243,42258,8953,3227.579102,3484.385939,3548.069306
Poland,24348506,86305654,73782412,69804295,977815477,731424498,1422317,24394434,14817602,1294765,2813450,1895081,28555,68498,19153,15987.57537,18635.51049,18891.21212
Portugal,0,0,0,29136508,337346507,420111809,620867,6069081,2814919,414197,975245,2677230,6917,12035,3631,22299.40441,24711.45101,24620.51956
Qatar,2123765,1935358,1209028,26516417,76672013,46175531,41312,179203,88593,143833,106694,115506,245,373,59,51683.50544,71751.88312,88701.46335
Romania,0,0,0,41825937,420014029,345701379,1328737,12807419,8449704,632262,1176628,1093899,17744,41073,6789,13082.30066,14986.78549,15557.88262
Rwanda,190357,8342843,10892396,835780,20140877,17185823,5360,258930,193479,8382,103403,18121,91,1258,109,778.7015386,828.8330328,975.4693159
Saint Vincent And The Grenadines,1729,168518,31919,14217,980381,895237,0,8688,13510,120,5729,949,0,80,25,8395.099889,8481.305374,9471.146273
Samoa,22,94,255244,78,1052,324762,0,0,588,1,1,11310,0,0,23,9294.459375,9591.902835,10943.46267
San Marino,47426,67283,95017,246338,1802272,1864249,12056,31343,14817,2427,5774,8650,59,41,15,44426.64634,54168.98283,54264.5705
Saudi Arabia,5900542,1955852,2188538,64831639,172592703,95849129,869637,2814113,1206452,362740,193495,202559,6223,2654,237,23271.40376,28396.08642,34454.19577
Senegal,472349,1055252,132208,2803700,19184451,11360014,55512,484535,261410,19139,55915,10980,410,1480,76,1461.087204,1598.10677,1564.745221
Serbia,5289850,18006579,13042063,15906115,281495508,244860119,206865,2636678,1997647,337922,961416,713258,3210,9503,3332,8098.709557,9680.527981,10022.96885
Seychelles,4272,227356,185693,28291,4859634,5121983,0,24406,21069,273,24513,18447,0,133,33,14041.47541,14982.91115,17167.19098
Sierra Leone,0,0,0,447589,1877907,1021881,15539,36424,16734,2610,4453,618,75,47,2,845.3138363,885.1842707,860.130884
Singapore,1291947,1993247,6222906,12498089,37478110,105130899,6795,59560,146058,58527,220806,960828,29,799,534,61466.80368,79601.41296,88428.70242
Slovenia,1603277,4799687,7815523,5619066,97490909,113510086,118318,1585319,836160,122197,341852,555418,2696,2892,1033,25392.06511,29187.36938,28373.83823
Solomon Islands,729,488,353136,1082,7092,1045922,0,0,11693,16,7,18150,0,0,144,2063.331015,1996.869768,2005.413993
Somalia,270540,2489114,1527965,814629,5482561,3473558,23420,287517,180141,4713,18818,2986,129,1203,17,518.1847785,549.1147435,573.1280925
South Africa,16352364,32006169,6493841,123537858,799558178,492807714,3044361,24532459,13127691,1063546,2394739,429163,29082,62565,9105,5580.603831,6843.399419,6523.410978
South Korea,0,0,0,5964337,79740155,1032511635,104000,824945,1691116,60712,570098,17125789,900,4663,18098,31721.29891,35125.5225,32394.68337
Spain,53694318,116375190,203542393,198743843,1482290562,1424444278,8967995,28656472,13255573,1970293,4416934,5739185,50837,38610,15997,27230.35999,30817.68286,30287.36576
Sri Lanka,572042,7948818,1609324,2133976,106566479,85707685,9247,2109385,2149520,43298,543946,76418,204,14775,1532,3846.174496,3999.337647,3342.719896
Sudan,0,0,0,2959528,13136715,7909846,234923,1150159,628443,25237,21280,15643,1924,2185,826,577.7952271,712.1220093,1046.240845
Suriname,61501,1592515,3265760,756340,9143566,10048059,15479,205300,173415,6209,46059,27739,121,1067,148,4755.392217,5029.848385,6084.438767
Sweden,10810725,26931605,37827883,30694819,361495551,306171201,1513565,5168613,2349927,454757,881845,1168291,10002,5344,3517,52653.75659,61174.96802,55296.93715
Switzerland,8006297,22535207,74172316,29394991,268885207,382864801,686940,3889045,1787525,451185,883601,2297094,7801,4567,1514,85897.78433,93446.43445,93245.79521
Tajikistan,250439,17423,1528,2005435,5430209,2321972,16067,38573,16616,13281,3799,293,88,34,0,834.3117155,896.7480534,1052.179495
Tanzania,0,0,0,2427692,6001212,4451163,75459,170394,105783,9542,19745,6048,286,437,103,1117.415283,1159.856567,1207.853027
Thailand,87635,24428699,20870429,969239,279343875,426886079,15557,2687732,3263306,6850,2216551,2144317,61,21637,7726,6985.643939,7058.0695,6909.359975
Togo,82940,475245,215920,381764,5916002,4879380,8764,56733,36063,3632,26530,6857,67,180,25,853.5782203,939.6133738,898.7581544
Tonga,0,27,125103,0,63,504096,0,0,513,0,0,11048,0,0,9,4700.449328,4912.579506,4933.074791
Tunisia,0,0,0,7907744,176070983,130564321,230417,5982902,3688393,143928,596313,300955,4676,20893,3006,3548.653637,3885.281665,3678.400234
UK,93236080,361604505,282450893,178022141,2292366297,2592568642,11863093,47935165,22153657,2637933,11040271,8481568,77071,75163,24474,40201.68124,46896.86624,45935.92765
USA,560636623,1160717309,948963911,1806452210,13627587582,10489153474,48690007,233348248,129921401,20763414,35608936,27837108,372760,478606,175280,64411.37318,71318.30736,78035.17536
Uganda,-75947,7297643,7839576,2384720,32126608,21683373,28565,664447,475316,42623,98113,23332,425,2867,302,845.7664639,882.7917175,963.0673141
Ukraine,0,0,0,65134028,807420123,616626046,1204799,18413780,14024453,1055046,2612602,1338811,18533,77366,12550,3709.769287,4775.945801,4199.670898
United Arab Emirates,2830139,5077619,4657374,22253475,213010290,116183704,99619,623534,304638,207814,554115,140224,669,1495,138,37173.87541,43360.0211,49899.0653
Uruguay,180324,3904340,3586216,761848,98935192,104383438,12262,1470801,920873,19115,394264,489157,180,5989,1043,15789.68574,17888.21151,20691.9739
Uzbekistan,754390,1068537,503048,9682117,46374203,30788587,75602,332791,214752,77056,121843,39885,613,871,152,1978.280519,2258.519641,2578.666894
Vanuatu,21,199,65701,52,1375,316226,0,256,500,0,6,8375,0,0,13,3042.987116,3107.203129,3265.396451
Vietnam,66885,103879325,202757998,253388,209178407,903041431,4933,2976296,5380044,1673,2607597,8085750,35,32575,10455,3534.039535,3704.193559,4116.385761
Zambia,153798,1683048,692644,2437155,52593029,41468820,53271,849928,527179,20723,233549,66317,387,3346,249,951.6443167,1127.160779,1447.123101
Zimbabwe,244108,2878042,763977,1336660,30104082,31896996,36689,1029645,720927,13866,199391,35948,362,4641,478,1730.413489,1724.387731,2040.552459
